Letter ID,Title,Date,Creator,Top Terms (comma-separated)
235,"Edvard Eidum to Alma C. Wilson 1948.10.28",1948.10.28,"Edvard Eidum","beløpet(0.049), sa(0.046), dukke(0.043), kroner(0.037), billederne(0.032), brevet(0.032), nerverne(0.031), sitte(0.031), rette(0.028), gjertine(0.028)"
236,"Laura Karlson to Alma C. Wilson Card 1949.12.12",1949.12.12,"Laura Karlson","nytaar(0.281), kjere(0.196), skriv(0.178), ønske(0.175), mindor(0.163), jul(0.155), veret(0.153), syk(0.138), sammen(0.112), tid(0.088)"
237,"Edvard Eidum to Alma C. Wilson Card 1948.11.23",1948.11.23,"Edvard Eidum","eidums(0.877), glædelig(0.820), ønskes(0.820), julefest(0.708), hilsen(0.104)"
238,"Herborg Holm to Alma C. Wilson Card 1948.11.24",1948.11.24,"Herborg Holm","24-11-48(0.141), ankelen(0.141), kimer(0.141), brakk(0.123), vers(0.112), irene(0.095), morsom(0.095), kortet(0.095), fot(0.091), ruth(0.091)"
239,"Laura Karlson to Alma C. Wilson 1948.12.19",1948.12.19,"Laura Karlson","hamm(0.089), 12-1948(0.051), korthet(0.051), jule(0.051), ijennem(0.051), fristet(0.051), falle(0.051), antenne(0.051), naaksaa(0.051), tørkle(0.051)"
240,"Edvard Eidum to Alma C. Wilson 1949.2.1",1949.02.01,"Edvard Eidum","storm(0.047), venlig(0.031), vær(0.029), forsøke(0.027), hilser(0.027), sykehuset(0.026), 2-1949(0.024), ukjente(0.024), frukten(0.024), orkanaktig(0.024)"
241,"Axel Holm to Alma C. Wilson 1949.11.27",1949.11.27,"Axel Holm","vold(0.059), fort(0.048), ont(0.042), 27-11-1949(0.037), 64(0.037), årsdag(0.037), rodde(0.037), klokar(0.037), gjæte(0.037), bakar(0.037)"
242,"Edvard Eidum to Alma C. Wilson Card 1949.12",1949.12,"Edvard Eidum","glædelig(0.683), ønskes(0.683), edv(0.590), nyttår(0.548), jul(0.283), hanna(0.226)"
243,"Herborg Holm to Alma C. Wilson Card 1949.12.15",1949.12.15,"Herborg Holm","slag(0.091), jul(0.080), dagene(0.071), 15-12-49(0.065), sønnedatter(0.065), kjøkkenet(0.065), travle(0.065), festligste(0.065), høytid(0.065), sorter(0.065)"
244,"Larua Karlson to Alma C. Wilson 1949.12.29",1949.12.29,"Laura Karlson","lommetørkle(0.088), faatt(0.060), derfor(0.045), 12-1949(0.044), undersøgt(0.044), paasten(0.044), taalboden(0.044), undersøke(0.044), ergelig(0.044), lommetørklær(0.044)"
245,"Edvard Eidum to Alma C. Wilson 1950.1.5",1950.01.05,"Edvard Eidum","oplysninger(0.043), hedning(0.043), søsters(0.038), koste(0.038), selge(0.028), gud(0.024), land(0.022), 1-1950(0.022), julehilsningen(0.022), underretningen(0.022)"
246,"Axel Holm to Alma C. Wilson 1950.1.20",1950.01.20,"Axel Holm","flekker(0.089), salig(0.089), 20-1-50(0.045), fredfult(0.045), lengsler(0.045), lystripe(0.045), drakten(0.045), nyvaska(0.045), synden(0.045), utte(0.045)"
247,"Axel Holm to Alma C. Wilson 1950.8.20",1950.08.20,"Axel Holm","1950(0.044), blomster(0.036), farvel(0.033), styre(0.031), ungdom(0.030), fin(0.027), bedehuset(0.026), dei(0.025), kjeneste(0.022), korea(0.022)"
248,"Hilma Lindgren to Alma C. Wilson 1952.5.20",1952.05.20,"Hilma Lindgren","trøste(0.072), kroppen(0.055), dø(0.049), elvegård(0.041), 5-52(0.041), trygg(0.041), eksem(0.041), randt(0.041), sårene(0.041), nedover(0.041)"
